"Year","World_rank","University_name","Region","Overall_score","International_student_ratio","Academic_reputation","Employer_reputation"
"2022","373","Beijing Institute of Technology","Beijing, China (Mainland)","29.6","5","21.5","15.3"
"2022","383","Beihang University (former BUAA)","Beijing, China (Mainland)","29.1","5.8","14.4","5.3"
"2022","403","Shandong University","Jinan, China (Mainland)","27.9","3.9","14.9","26.3"
"2022","407","South China University of Technology","Guangzhou, China (Mainland)","27.8","4.3","12.1","3.8"
"2022","407","Xiamen University","Xiamen, China (Mainland)","27.8","4","25.7","8.4"
"2022","414","University of Science and Technology Beijing","Beijing, China (Mainland)","27.4","3.5","15","4.3"
"2022","436","Shanghai University","Shanghai, China (Mainland)","26.6","7.4","24","8.9"
"2022","451","Sichuan University","Chengdu, China (Mainland)","25.8","6.1","17.7","4.7"
"2022","465","Southeast University","Nanjing, China (Mainland)","25.3","4.3","12","5.6"
"2023","12","Peking University","Beijing, China (Mainland)","91.3","36.9","99.3","96.5"
"2023","14","Tsinghua University","Beijing, China (Mainland)","90.1","25.7","98.9","97.7"
"2023","21","The University of Hong Kong","","87","98.7","97.4","62.9"
"2023","34","Fudan University","Shanghai, China (Mainland)","81.5","38.7","83.6","93.5"
"2023","38","The Chinese University of Hong Kong (CUHK)","","80.6","90.5","87.3","49.6"
"2023","40","The Hong Kong University of Science and Technology","","79.8","87.9","82","50.1"
"2023","42","Zhejiang University","","79.3","42.5","72.2","95.3"
"2023","46","Shanghai Jiao Tong University","Shanghai, China (Mainland)","77.4","38.4","82.7","90.2"
"2023","54","City University of Hong Kong","","73.6","100","57.3","29.4"
"2023","65","The Hong Kong Polytechnic University","","69","80.7","66.1","37"
"2023","94","University of Science and Technology of China","","60.7","5.7","51.6","12.4"
"2023","133","Nanjing University","Nanjing, China (Mainland)","53.9","8.2","57.7","17.7"
"2023","194","Wuhan University","Wuhan, China (Mainland)","44.3","7.2","38.8","56.6"
"2023","212","Tongji University","Shanghai, China (Mainland)","42.4","35.8","33.2","10"
"2023","217","Harbin Institute of Technology","Harbin, China (Mainland)","42","7.8","26.6","8.9"
"2023","226","Southern University of Science and Technology","","41.2","1.7","7.8","1.7"
"2023","262","Beijing Normal University","Beijing, China (Mainland)","37.8","25.3","36.3","6.4"
"2023","267","Sun Yat-sen University","Guangzhou, China (Mainland)","37.3","5","34.4","32.5"
"2023","281","Hong Kong Baptist University","","36.3","100","17","12.8"
"2023","302","Xi’an Jiaotong University","Xi'an, China (Mainland)","35.1","4.3","21.8","50.7"
"2023","306","Huazhong University of Science and Technology","Wuhan, China (Mainland)","34.6","4.9","21.3","40.2"
"2023","307","Tianjin University","Tianjin, China (Mainland)","34.4","19.6","18.3","4.3"
"2023","355","Beijing Institute of Technology","Beijing, China (Mainland)","30.7","4.7","20.7","15"
"2023","378","Nankai University","Tianjin, China (Mainland)","29.7","3.7","21.2","5"
"2023","396","Shandong University","Jinan, China (Mainland)","28.7","3.8","13.8","32.8"
"2023","406","Sichuan University","Chengdu, China (Mainland)","28","5.8","18.2","4"
"2023","406","South China University of Technology","Guangzhou, China (Mainland)","28","4.6","10.7","3.5"
"2023","422","Shanghai University","Shanghai, China (Mainland)","27.3","7","21.1","8.5"
"2023","422","Xiamen University","Xiamen, China (Mainland)","27.3","3.8","23.9","8.8"
"2023","428","University of Science and Technology Beijing","Beijing, China (Mainland)","27.1","3.4","13.1","3.4"
"2023","443","Beihang University (former BUAA)","Beijing, China (Mainland)","26.3","5.5","13.1","4.4"
"2023","461","Southeast University","Nanjing, China (Mainland)","25.5","3.9","11.1","6"
"2023","497","Jilin University","Jilin, China (Mainland)","24.3","2.4","13.5","44.5"
"2023","499","Central South University","Changsha, China (Mainland)","24.2","3.9","7.3","2"
